id,name,acronym,vendor,domain,level,price_usd,currency_note,duration_min,validity_years,prerequisites,dod_8140,url,description,tags,weight,restricted_to,exam_count,renewal_cost,hands_on
cdsa,HTB Certified Defensive Security Analyst,CDSA,Hack The Box,Security Operations,intermediate,210,,4320,3,,false,https://www.hackthebox.com/hacker/certifications/cdsa,Hands-on defensive SOC analyst certification.,blue-team;soc,5,,1,,false
ewpt,eLearnSecurity Web Application Penetration Tester,eWPT,INE,Software Security,intermediate,400,,4320,0,,false,https://security.ine.com/certifications/ewpt-certification/,Hands-on web application penetration testing certification.,appsec;web,5,,1,,false
ewptx,eLearnSecurity Web Application Penetration Tester eXtreme,eWPTX,INE,Software Security,advanced,400,,8640,0,,false,https://security.ine.com/certifications/ewptxv2-certification/,Advanced web application penetration testing certification.,appsec;web,5,,1,,false
ejpt,eLearnSecurity Junior Penetration Tester,eJPT,INE,Penetration Testing,beginner,249,,2880,0,,false,https://security.ine.com/certifications/ejpt-certification/,Entry-level practical penetration testing certification.,red-team;foundational,5,,1,,false
aws-saa,AWS Solutions Architect Associate,SAA-C03,AWS,Cloud/SysOps,intermediate,150,,130,3,,false,https://aws.amazon.com/certification/certified-solutions-architect-associate/,AWS architecture certification covering core services and design.,cloud;aws,5,,1,,false
aws-scs,AWS Certified Security Specialty,SCS-C02,AWS,Cloud/SysOps,advanced,300,,170,3,,false,https://aws.amazon.com/certification/certified-security-specialty/,AWS security specialty certification covering IAM, encryption and incident response.,8,,1,,false
az-500,Microsoft Azure Security Engineer,AZ-500,Microsoft,Cloud/SysOps,intermediate,165,,150,1,,false,https://learn.microsoft.com/credentials/certifications/azure-security-engineer/,Azure security implementation certification.,cloud;azure,5,,1,,false
sc-100,Microsoft Cybersecurity Architect,SC-100,Microsoft,Security Architecture & Engineering,expert,165,,150,1,az-500,false,https://learn.microsoft.com/credentials/certifications/cybersecurity-architect-expert/,Microsoft cybersecurity architecture expert certification.,cloud;azure;architecture,7,,1,,false
gcp-pca,Google Cloud Professional Cloud Architect,PCA,Google,Cloud/SysOps,advanced,200,,120,2,,false,https://cloud.google.com/learn/certification/cloud-architect,Google Cloud architecture certification.,cloud;gcp,5,,1,,false
ccna,Cisco Certified Network Associate,CCNA,Cisco,Communication & Network Security,intermediate,300,,120,3,,false,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/enterprise/ccna/index.html,Foundational Cisco networking certification.,networking;cisco,7,,1,,false
ccnp-sec,Cisco Certified Network Professional Security,CCNP Security,Cisco,Communication & Network Security,advanced,400,Plus concentration exam,120,3,,true,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/security/ccnp-security/index.html,Advanced Cisco security professional certification.,networking;cisco,9,,1,,false
ccie-sec,Cisco Certified Internetwork Expert Security,CCIE Security,Cisco,Communication & Network Security,expert,1900,Plus $400 written exam,480,3,,true,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/security/ccie-security/index.html,Expert-level 8-hour hands-on lab certification.,networking;cisco;hands-on,10,,1,,true
cnd,EC-Council Certified Network Defender,CND,EC-Council,Communication & Network Security,intermediate,499,,240,3,,false,https://www.eccouncil.org/programs/certified-network-defender-cnd/,Network defence and security operations certification.,networking;blue-team,5,,1,,false
sscia,SANS SEC401 Security Essentials,SEC401,SANS,Security & Risk Management,intermediate,8780,Course + GSEC exam,300,4,,false,https://www.sans.org/cyber-security-courses/security-essentials-network-endpoint-cloud/,SANS flagship security essentials course paired with GSEC.,foundational;course,5,,1,,false
gicsp,GIAC Global Industrial Cyber Security Professional,GICSP,GIAC,ICS/IoT,advanced,999,Exam only,180,4,,true,https://www.giac.org/certifications/global-industrial-cyber-security-professional-gicsp/,Industrial control systems security certification.,ics;ot,5,,1,,false
gridv,GIAC Response and Industrial Defense,GRID,GIAC,ICS/IoT,expert,999,Exam only,180,4,,false,https://www.giac.org/certifications/response-industrial-defense-grid/,ICS active defense and incident response certification.,ics;ot;ir,5,,1,,false
encase,EnCase Certified Examiner,EnCE,OpenText,Forensics,intermediate,200,Plus training,180,3,,true,https://www.opentext.com/products/encase-training/encase-certified-examiner-ence-certification-program,EnCase forensic examiner certification.,forensics,5,,1,,false
ccfp,Cellebrite Certified Operator,CCO,Cellebrite,Forensics,beginner,500,,180,2,,false,https://cellebrite.com/en/training/certification/,Mobile forensics operator certification using Cellebrite UFED.,forensics;mobile,5,,1,,false
mcfe,Magnet Certified Forensics Examiner,MCFE,Magnet Forensics,Forensics,intermediate,200,,180,2,,false,https://www.magnetforensics.com/training/certifications/,Magnet AXIOM forensic examiner certification.,forensics,5,,1,,false
okta-pro,Okta Certified Professional,Okta Pro,Okta,IAM,beginner,250,,90,2,,false,https://www.okta.com/services/training/certification/,Okta identity platform professional certification.,iam;identity,5,,1,,false
sailpoint-eng,SailPoint Certified IdentityIQ Engineer,SP-IIQ,SailPoint,IAM,intermediate,400,,120,2,,false,https://www.sailpoint.com/services/training/certification/,SailPoint IdentityIQ engineering certification.,iam;identity,5,,1,,false
cipp,Certified Information Privacy Professional,CIPP,IAPP,GRC,intermediate,550,Per concentration,150,2,,false,https://iapp.org/certify/cipp/,Privacy law and regulation certification.,privacy;grc,5,,1,,false
cipm,Certified Information Privacy Manager,CIPM,IAPP,GRC,advanced,550,,150,2,,false,https://iapp.org/certify/cipm/,Privacy program management certification.,privacy;management,5,,1,,false
itil-f,ITIL 4 Foundation,ITIL-F,PeopleCert,GRC,beginner,500,,60,0,,false,https://www.peoplecert.org/browse-certifications/it-governance-and-service-management/ITIL-1/itil-4-foundation-1064,IT service management foundational certification.,itsm,5,,1,,false
oswp,Offensive Security Wireless Professional,OSWP,OffSec,Communication & Network Security,intermediate,1649,Includes 90-day lab + exam,240,3,,false,https://www.offsec.com/courses/pen-210/,Wireless attacks and Wi-Fi penetration testing certification.,wireless;hands-on,5,,1,,true
oswa,Offensive Security Web Assessor,OSWA,OffSec,Software Security,intermediate,1649,Includes 90-day lab + exam,1440,3,,false,https://www.offsec.com/courses/web-200/,Hands-on web application security assessment certification.,appsec;web;hands-on,5,,1,,true
osmr,Offensive Security macOS Researcher,OSMR,OffSec,Exploitation,expert,1649,Includes 90-day lab + exam,2880,3,,false,https://www.offsec.com/courses/exp-312/,macOS exploit development and reverse engineering certification.,exploit-dev;macos,7,,1,,false
sc-900,Microsoft Security Compliance and Identity Fundamentals,SC-900,Microsoft,Security & Risk Management,beginner,99,,60,1,,false,https://learn.microsoft.com/credentials/certifications/security-compliance-and-identity-fundamentals/,Microsoft fundamentals certification covering security identity and compliance basics.,cloud;fundamentals,5,,1,,false
sc-200,Microsoft Security Operations Analyst,SC-200,Microsoft,Security Operations,intermediate,165,,150,1,,false,https://learn.microsoft.com/credentials/certifications/security-operations-analyst/,Microsoft Sentinel and Defender SOC analyst certification.,blue-team;cloud;azure,5,,1,,false
sc-300,Microsoft Identity and Access Administrator,SC-300,Microsoft,IAM,intermediate,165,,150,1,,false,https://learn.microsoft.com/credentials/certifications/identity-and-access-administrator/,Entra ID identity management certification.,iam;azure,5,,1,,false
sc-400,Microsoft Information Protection Administrator,SC-400,Microsoft,GRC,intermediate,165,,150,1,,false,https://learn.microsoft.com/credentials/certifications/information-protection-administrator/,Microsoft Purview information protection and DLP certification.,grc;data-protection,5,,1,,false
az-104,Microsoft Azure Administrator,AZ-104,Microsoft,Cloud/SysOps,intermediate,165,,150,1,,false,https://learn.microsoft.com/credentials/certifications/azure-administrator/,Azure infrastructure administration certification.,cloud;azure,5,,1,,false
az-900,Microsoft Azure Fundamentals,AZ-900,Microsoft,Cloud/SysOps,beginner,99,,60,1,,false,https://learn.microsoft.com/credentials/certifications/azure-fundamentals/,Azure cloud fundamentals certification.,cloud;azure;fundamentals,5,,1,,false
aws-clf,AWS Certified Cloud Practitioner,CLF-C02,AWS,Cloud/SysOps,beginner,100,,90,3,,false,https://aws.amazon.com/certification/certified-cloud-practitioner/,Foundational AWS cloud certification.,cloud;aws;fundamentals,5,,1,,false
aws-sap,AWS Solutions Architect Professional,SAP-C02,AWS,Cloud/SysOps,expert,300,,180,3,aws-saa,false,https://aws.amazon.com/certification/certified-solutions-architect-professional/,Advanced AWS architecture and design certification.,cloud;aws,9,,1,,false
aws-ans,AWS Advanced Networking Specialty,ANS-C01,AWS,Communication & Network Security,advanced,300,,170,3,,false,https://aws.amazon.com/certification/certified-advanced-networking-specialty/,AWS networking specialty certification.,cloud;aws;networking,5,,1,,false
gcp-ace,Google Cloud Associate Cloud Engineer,ACE,Google,Cloud/SysOps,beginner,125,,120,2,,false,https://cloud.google.com/learn/certification/cloud-engineer,Foundational Google Cloud engineering certification.,cloud;gcp,5,,1,,false
gcp-pse,Google Cloud Professional Cloud Security Engineer,PSE,Google,Cloud/SysOps,advanced,200,,120,2,,false,https://cloud.google.com/learn/certification/cloud-security-engineer,Google Cloud security engineering certification.,cloud;gcp,5,,1,,false
ccst-cyber,Cisco Certified Support Technician Cybersecurity,CCST CS,Cisco,Security & Risk Management,beginner,125,,50,3,,false,https://learningnetwork.cisco.com/s/ccst-cybersecurity,Entry-level Cisco cybersecurity certification.,fundamentals,5,,1,,false
cyberops-asc,Cisco Certified CyberOps Associate,CBROPS,Cisco,Security Operations,intermediate,300,,120,3,,true,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/cyberops/cyberops-associate/index.html,Cisco SOC analyst associate certification.,blue-team;soc,5,,1,,false
itf-plus,CompTIA IT Fundamentals+,ITF+,CompTIA,Asset Security,beginner,138,,60,0,,false,https://www.comptia.org/certifications/it-fundamentals,Entry-level IT fundamentals certification.,fundamentals,5,,1,,false
server-plus,CompTIA Server+,Server+,CompTIA,Asset Security,intermediate,369,,90,0,,false,https://www.comptia.org/certifications/server,Server administration certification.,sysadmin,5,,1,,false
data-plus,CompTIA Data+,Data+,CompTIA,GRC,intermediate,269,,90,3,,false,https://www.comptia.org/certifications/data-plus,Data analytics certification.,data,5,,1,,false
project-plus,CompTIA Project+,Project+,CompTIA,GRC,beginner,369,,90,0,,false,https://www.comptia.org/certifications/project,Project management certification.,management,5,,1,,false
rhcsa,Red Hat Certified System Administrator,RHCSA,Red Hat,*nix,intermediate,500,,180,3,,false,https://www.redhat.com/en/services/certification/rhcsa,Hands-on Red Hat Enterprise Linux administration certification.,linux;hands-on,5,,1,,true
rhce,Red Hat Certified Engineer,RHCE,Red Hat,*nix,advanced,500,,240,3,rhcsa,false,https://www.redhat.com/en/services/certification/rhce,Advanced RHEL automation with Ansible certification.,linux;hands-on;automation,5,,1,,true
lpic-1,LPIC-1 Linux Administrator,LPIC-1,LPI,*nix,beginner,400,Per exam (2 required),90,5,,false,https://www.lpi.org/our-certifications/lpic-1-overview/,Foundational vendor-neutral Linux certification.,linux,5,,2,,false
lpic-2,LPIC-2 Linux Engineer,LPIC-2,LPI,*nix,intermediate,400,Per exam (2 required),90,5,lpic-1,false,https://www.lpi.org/our-certifications/lpic-2-overview/,Mid-level Linux engineering certification.,linux,5,,2,,false
pjpt,Practical Junior Penetration Tester,PJPT,TCM Security,Penetration Testing,beginner,249,,2880,3,,false,https://certifications.tcm-sec.com/pjpt/,Entry-level practical internal network penetration testing certification.,red-team;hands-on,5,,1,,true
pjor,Practical Junior OSINT Researcher,PJOR,TCM Security,GRC,beginner,249,,2880,3,,false,https://certifications.tcm-sec.com/pjor/,Entry-level practical OSINT research certification.,osint,5,,1,,false
pwpa,Practical Web Pentest Associate,PWPA,TCM Security,Software Security,intermediate,299,,2880,3,,false,https://certifications.tcm-sec.com/pwpa/,Practical web application penetration testing certification.,appsec;web;hands-on,5,,1,,true
cwee,HTB Certified Web Exploitation Expert,CWEE,Hack The Box,Software Security,expert,270,,4320,3,,false,https://www.hackthebox.com/hacker/certifications/cwee,Hands-on advanced web exploitation certification.,appsec;web;hands-on,9,,1,,true
cape,HTB Certified Active Directory Pentesting Expert,CAPE,Hack The Box,Penetration Testing,expert,270,,4320,3,,false,https://www.hackthebox.com/hacker/certifications/cape,Hands-on Active Directory penetration testing certification.,red-team;active-directory,7,,1,,false
cipt,Certified Information Privacy Technologist,CIPT,IAPP,Software Security,intermediate,550,,150,2,,false,https://iapp.org/certify/cipt/,Privacy by design technology certification.,privacy;appsec,5,,1,,false
splunk-core,Splunk Core Certified User,SCCU,Splunk,Security Operations,beginner,130,,60,3,,false,https://www.splunk.com/en_us/training/certification-track/splunk-core-certified-user.html,Foundational Splunk search and reporting certification.,siem,5,,1,,false
splunk-power,Splunk Core Certified Power User,SCCPU,Splunk,Security Operations,intermediate,130,,60,3,splunk-core,false,https://www.splunk.com/en_us/training/certification-track/splunk-core-certified-power-user.html,Splunk advanced search and dashboarding certification.,siem,5,,1,,false
iec-62443,ISA/IEC 62443 Fundamentals Specialist,IEC 62443,ISA,ICS/IoT,beginner,795,Course + exam,180,0,,false,https://www.isa.org/certification/certificate-programs/isa-iec-62443-cybersecurity-certificate-programs,Industrial cybersecurity fundamentals certificate.,ics;ot,5,,1,,false
gnfa,GIAC Network Forensic Analyst,GNFA,GIAC,Forensics,advanced,999,Exam only,180,4,,false,https://www.giac.org/certifications/network-forensic-analyst-gnfa/,Network forensics certification.,forensics;network,5,,1,,false
gmon,GIAC Continuous Monitoring Certification,GMON,GIAC,Security Operations,intermediate,999,Exam only,180,4,,true,https://www.giac.org/certifications/continuous-monitoring-gmon/,Continuous security monitoring certification.,blue-team;soc,5,,1,,false
gcti,GIAC Cyber Threat Intelligence,GCTI,GIAC,Cyber Threat Intelligence,advanced,999,Exam only,180,4,,true,https://www.giac.org/certifications/cyber-threat-intelligence-gcti/,Cyber threat intelligence analysis certification.,cti;blue-team,9,,1,,false
gdat,GIAC Defending Advanced Threats,GDAT,GIAC,Security Operations,expert,999,Exam only,180,4,,false,https://www.giac.org/certifications/defending-advanced-threats-gdat/,Advanced purple team and defense certification.,blue-team;purple-team,10,,1,,false
gcld,GIAC Cloud Security Essentials,GCLD,GIAC,Cloud/SysOps,intermediate,999,Exam only,180,4,,false,https://www.giac.org/certifications/cloud-security-essentials-gcld/,Vendor-neutral cloud security essentials certification.,cloud,5,,1,,false
gpcs,GIAC Public Cloud Security,GPCS,GIAC,Cloud/SysOps,intermediate,999,Exam only,180,4,,false,https://www.giac.org/certifications/public-cloud-security-gpcs/,"Multi-cloud security certification covering AWS, Azure and GCP.",cloud,5,,1,,false
gfact,GIAC Foundational Cybersecurity Technologies,GFACT,GIAC,Security & Risk Management,beginner,999,Exam only,180,4,,false,https://www.giac.org/certifications/foundational-cybersecurity-technologies-gfact/,Foundational cybersecurity technologies certification.,fundamentals,5,,1,,false
mcfa,Magnet Certified Forensic Analyst,MCFA,Magnet Forensics,Forensics,advanced,200,,180,2,mcfe,false,https://www.magnetforensics.com/training/certifications/,Advanced Magnet AXIOM forensic analyst certification.,forensics,5,,1,,false
mcrta,MCSI Certified Red Team Analyst,MCRTA,MCSI,Penetration Testing,beginner,50,Self-paced; free tier available,4320,0,,false,https://www.mosse-institute.com/certifications.html,Hands-on entry-level red team analyst certification with practical exercises.,red-team;hands-on;self-paced,5,,1,,true
mnsa,MCSI Network Security Analyst,MNSA,MCSI,Communication & Network Security,beginner,50,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Practical network security analysis certification.,networking;blue-team,5,,1,,false
mwasp,MCSI Web Application Security Practitioner,MWASP,MCSI,Software Security,intermediate,450,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Practical web application security and assessment certification.,appsec;web;hands-on,5,,1,,true
mosint,MCSI Open Source Intelligence Analyst,MOSINT,MCSI,GRC,beginner,50,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Hands-on OSINT investigation certification.,osint,5,,1,,false
mrte,MCSI Reverse Engineering Expert,MRTE,MCSI,Forensics,advanced,450,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Practical reverse engineering and malware analysis certification.,malware;reverse-engineering;hands-on,5,,1,,true
mire,MCSI Incident Response Engineer,MIRE,MCSI,Incident Handling,intermediate,450,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Hands-on incident response engineering certification.,ir;blue-team;hands-on,5,,1,,true
mthe,MCSI Threat Hunting Expert,MTH,MCSI,Security Operations,advanced,450,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Practical threat hunting certification covering attacker tradecraft and detection.,threat-hunting;blue-team;hands-on,5,,1,,true
mdfir,MCSI Digital Forensics Investigator,MDFIR,MCSI,Forensics,intermediate,450,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Hands-on digital forensics and incident response certification.,forensics;dfir;hands-on,5,,1,,true
mpt,MCSI Penetration Tester,MPT,MCSI,Penetration Testing,advanced,450,Self-paced,4320,0,mcrta,false,https://www.mosse-institute.com/certifications.html,Practical full-spectrum penetration testing certification.,red-team;hands-on,5,,1,,true
mase,MCSI Application Security Engineer,MASE,MCSI,Software Security,advanced,450,Self-paced,4320,0,,false,https://www.mosse-institute.com/certifications.html,Hands-on application security engineering and secure code review certification.,appsec;sdlc;hands-on,5,,1,,true
ctia,EC-Council Certified Threat Intelligence Analyst,CTIA,EC-Council,Cyber Threat Intelligence,intermediate,549,,240,3,,false,https://www.eccouncil.org/programs/threat-intelligence-training/,"Threat intelligence analyst certification covering CTI lifecycle, collection and analysis.",cti;blue-team,5,,1,,false
crtia,CREST Registered Threat Intelligence Analyst,CRTIA,CREST,Cyber Threat Intelligence,advanced,,Pricing via CREST member labs,,3,,false,https://www.crest-approved.org/certifications/crest-registered-threat-intelligence-analyst/,CREST-accredited threat intelligence analyst certification.,cti;crest,5,,1,,false
sans-cti,SANS Threat Intelligence Practitioner Track,SEC487,SANS,Cyber Threat Intelligence,intermediate,8780,Course + GOSI exam,,4,,false,https://www.sans.org/cyber-security-courses/open-source-intelligence-gathering/,SANS open-source intelligence and threat intel course paired with GOSI certification.,cti;osint;course,5,,1,,false
